customer_city,total_orders,lat,lng
americo de campos,1,-20.299632573742652,-49.73238197918518
ametista do sul,2,-27.365846704987625,-53.178636499482884
amontada,1,-3.3654681773745936,-39.83000034505478
amparo,63,-22.661818291478486,-46.749968614854346
amparo da serra,1,-20.50873879690439,-42.80091590525793
ampere,8,-25.91948242542998,-53.47426387071248
anadia,2,-9.684047221479462,-36.30329345457926
anage,1,-14.611423342423128,-41.136312128144475
analandia,4,-22.12448307795461,-47.66233977037924
ananas,1,-6.370023441915631,-48.072614949350445
ananindeua,85,-1.3664682374065154,-48.40141600314848
anapolis,111,-16.326428814607524,-48.94884016591897
anastacio,2,-20.49416178826572,-55.801304874870276
anaurilandia,1,-22.183493629042154,-52.71771123924639
anchieta,17,-22.650779972900843,-44.739997942881985
andarai,1,-12.777115285366513,-41.27650549536144
andira,11,-23.048411332218812,-50.22989397409513
andorinha,5,-10.344702161161972,-39.83061876266924
andradas,12,-22.07047143353818,-46.57354819165932
andradina,40,-20.89921803197381,-51.37738057763974
andre da rocha,1,-28.63235819903258,-51.573247145680746
andrelandia,3,-21.739488547871638,-44.30983691863982
andrequice,1,-18.25622999999996,-45.06661999999994
angatuba,8,-23.49567484007595,-48.40706839425579
angelica,1,-22.15469316484538,-53.778471882567615
angelina,1,-27.58206007230407,-48.98438664013937
angical,1,-12.006384427285656,-44.698162626990054
angical do piaui,1,-6.077160299486864,-42.73579835439659
angicos,1,-5.66603171630403,-36.60327364407801
angra dos reis,83,-22.99505330727889,-44.35328502084304
anguera,1,-12.150285458856343,-39.245960093032245
angulo,3,-23.193225327666635,-51.915829324915514
angustura,1,-21.868313548258158,-42.698740442406134
anhandui,1,-20.981461451885522,-54.503718322956225
anhembi,1,-22.79055313296728,-48.1292283726356
anhumas,1,-22.29612614613957,-51.387004974544936
anicuns,8,-16.459840612028362,-49.96081462896285
anita garibaldi,5,-27.687250757458745,-51.12836796676873
anitapolis,2,-27.90431811708314,-49.12870759259421
anta,3,-22.23220392930023,-43.05266133211299
anta gorda,4,-28.9720990314305,-52.00750426344917
antonina,10,-25.43470443919635,-48.712753541824284
antonina do norte,1,-6.775232323102792,-39.98814021289837
antonio cardoso,2,-12.437804546717423,-39.120387808882356
antonio carlos,3,-25.19207382534783,-46.88574860243843
antonio goncalves,1,-10.57302558573597,-40.275827657027556
antonio martins,1,-6.213919064448228,-37.89910224097036
antonio pereira,2,-20.283938203663602,-43.48187358746016
antonio prado,5,-28.857214777991516,-51.28458915711345
antonio prado de minas,3,-21.012742396079165,-42.121740926437454
antunes,1,-19.907807842506607,-44.698242198322056
aparecida,25,-22.588724475921772,-45.129601347939705
aparecida d'oeste,1,-20.454283404365263,-50.88282453060894
aparecida de goiania,105,-16.7770941635992,-49.275568678115775
aparecida de monte alto,1,-21.59533285617727,-48.12446105412283
aparecida de sao manuel,2,-22.73053188890062,-48.614713618517136
aparecida do rio negro,1,-9.950409822060305,-47.975271675045946
aparecida do taboado,7,-20.080651275371537,-51.10642297448527
aperibe,12,-21.62582034731358,-42.10482247378425
apiaca,6,-21.153566062601175,-41.56711877220422
apiai,6,-24.510304276423273,-48.84382861804537
apiuna,7,-27.040098540929808,-49.38736340966762
apodi,3,-5.6608569705782,-37.797452609510444
apora,1,-11.665688918521814,-38.09323846103476
apore,1,-18.963223077650238,-51.92693904530847
apuarema,1,-13.856428388404744,-39.744409767080825
apucarana,51,-23.55489661758209,-51.456353228191404
apuiares,2,-3.9468951885637225,-39.43151108792288
aquidaba,1,-10.284870765298363,-37.01914517791074
aquidauana,3,-20.467619302049197,-55.783090950473536
aquiraz,1,-3.912322652354214,-38.376434985468876
aracaju,213,-10.941346378601748,-37.06727810860317
aracariguama,8,-23.434263170131413,-47.06744872543871
aracati,21,-4.56650307165923,-37.76389038540504
aracatu,1,-14.417742491973552,-41.44989365700188
aracatuba,138,-21.20555581760857,-50.443193714677705
arace,4,-19.886590969076387,-40.72353893360273
araci,3,-11.335260862257696,-38.96194718415279
aracitaba,2,-21.341162438544124,-43.37755847112716
aracoiaba,5,-7.172421936626428,-35.75775202569453
aracoiaba da serra,11,-23.51503482346672,-47.609932002466735
aracruz,40,-19.84769042963587,-40.22863699645417
aracuai,9,-16.86883131439028,-42.07904685695032
aragarcas,3,-15.91071428305576,-52.23270081465406
aragoiania,1,-16.911957011140164,-49.45104782108625
araguacu,1,-12.928384840808663,-49.826197286894356
araguaia,1,-20.41550908384522,-40.64411836054274
araguaina,38,-7.194145689018862,-48.20870898863984
araguana,1,-5.630770130131535,-47.72602269161831
araguapaz,2,-15.098425662944779,-50.617515281317765
araguari,54,-18.64778819488765,-48.19413419921396
araguatins,5,-5.650280663884922,-48.12128374688021
aramari,2,-12.091330630741258,-38.5003316145126
arame,1,-4.8897314492920385,-46.00677976876072
aramina,1,-20.092201099659754,-47.79068484733614
arandu,3,-23.136564843736068,-49.05444039853914
arantina,1,-21.91515898275318,-44.25360039856993
arapei,2,-22.673499500042812,-44.446494992228956
arapiraca,29,-9.75088947728531,-36.65688381187583
arapoema,1,-7.656670780626437,-49.06430152660563
araponga,2,-20.6671706287898,-42.52110705532634
arapongas,32,-23.40888332472146,-51.434763168422826
arapora,5,-18.433559230520945,-49.18513587236584
arapoti,9,-24.142597510300845,-49.82236722660047
arapua,1,-19.915611651682244,-47.59828151341938
araputanga,4,-15.46944533964881,-58.34773170554173
araquari,11,-26.407378348238257,-48.75811272641001
arara,1,-6.8277176355033395,-35.76039334973399
ararangua,18,-28.94309732360172,-49.484519509318304
araraquara,150,-21.782712943567855,-48.171714984770624
araras,93,-22.357745988322282,-47.375545535422965
arari,2,-3.450955216573816,-44.77844191510273
ararica,2,-29.61828866098833,-50.929312277245714
araripe,1,-7.198190230663674,-40.141118021081645
araripina,11,-7.577678685814366,-40.501362066517
araruama,74,-22.869309765671982,-42.32125599263829
araruna,5,-22.048914367370763,-50.68904213237054
arataca,1,-15.261549087667621,-39.416715230662405
aratiba,1,-27.393878979446516,-52.30079208837952
aratuba,2,-4.419358212248046,-39.04633611936836
araucaria,54,-25.581421508995142,-49.38809273708963
araujos,5,-19.94457922756843,-45.166650917822786
araxa,75,-19.592272553654006,-46.93908706424617
arceburgo,7,-21.364132750962657,-46.93989548487439
arcos,25,-20.288301513728257,-45.541300693446196
arcoverde,5,-8.418945170759907,-37.059362484446474
areado,6,-21.35871206261818,-46.1449665979704
areal,7,-22.243707999292415,-43.09854917159979
arealva,3,-22.02950145575722,-48.91356673220313
areia,2,-6.96672904710812,-35.70250563207212
areia branca,3,-5.380486794521763,-37.14143838203797
areia branca dos assis,3,-7.4219600842578775,-39.350876514145014
areial,1,-7.048617955582523,-35.92421174107332
areias,3,-22.582287289027455,-44.69615578487731
areiopolis,3,-22.674138885355855,-48.66639441224437
arembepe,2,-12.7621161537852,-38.18152285695949
arenapolis,2,-14.459992121241395,-56.842861279034864
arenopolis,1,-16.385489638361854,-51.55956684307419
arinos,8,-15.920350682439093,-46.10773503284158
aripuana,8,-10.185682868565964,-59.46188003858034
ariquemes,13,-9.910527745214482,-63.03555499768102
ariranha,5,-21.189588340616634,-48.78771758700769
armacao dos buzios,28,-22.76648557858327,-41.90944761043472
armazem,2,-28.259708667735318,-49.01849908041336
arneiroz,2,-6.325943690618894,-40.15613983579525
aroeiras,1,-7.546247807895233,-35.70730669344224
arraial d ajuda,1,-16.49087155319871,-39.082955365333895
arraial d'ajuda,7,-16.385873646040263,-39.29731978307632
arraial do cabo,28,-22.963546289873033,-42.05072170618839
arraias,2,-12.92069951964487,-46.95008122252024
arroio do meio,9,-29.394875869959982,-51.945171165133004
arroio do sal,7,-29.5409423986955,-49.88526690603356
arroio do tigre,2,-29.333450448380372,-52.995051771964
arroio dos ratos,9,-30.089920662146096,-51.73152450330508
arroio grande,3,-32.23566062512626,-53.078851281770035
arroio trinta,1,-26.928511307806666,-51.335122525174846
arrozal,3,-22.594589669312334,-44.0307961050585
artur nogueira,40,-22.571207861628345,-47.1657687687331
aruana,2,-14.928390298848775,-51.07959158820119
aruja,68,-23.400745536766703,-46.322839931458134
arvoredo,1,-27.078409010542018,-52.45510633727941
arvorezinha,4,-28.87190543829348,-52.180111441190874
ascurra,4,-26.95718708184798,-49.37627016510524
assai,5,-23.375007494886024,-50.845827902884544
assare,1,-6.875517170698454,-39.870908804180004
assis,84,-22.65849706222492,-50.41828219858361
assis chateaubriand,12,-24.402021416487024,-53.51740411970834
assuncao,1,-7.077091335231696,-36.732248704492505
astolfo dutra,11,-21.314030738133884,-42.864233964033346
astorga,7,-23.236673429298893,-51.667933872284294
atalaia,1,-20.227736994992085,-48.61556497581523
atalanta,1,-27.421321255507692,-49.782950034762216
ataleia,2,-18.058760836257957,-41.137032820377286
atibaia,154,-23.123134519244505,-46.560481987331165
atilio vivacqua,1,-20.92514780451319,-41.19649395129351
augustinopolis,1,-5.4682264566119505,-47.88823718970732
augusto correa,3,-1.0236028208649164,-46.63744984962762
augusto pestana,2,-28.51518329915839,-53.994146190298764
aurea,2,-27.6954931647399,-52.053414140354654
auriflama,10,-20.685083174259976,-50.55462075520381
aurilandia,1,-16.6800504509085,-50.46526066427959
aurora,5,-12.764364640702667,-42.01472725220253
aurora do para,1,-2.1350551769507287,-47.55795963271966
avanhandava,7,-21.460710063924196,-49.94644521887572
avare,63,-23.101661110048383,-48.923743286031524
avelar,4,-22.327926993618423,-43.41168485928766
avelino lopes,2,-10.141657474791316,-43.94873133203079
azurita,3,-20.0081703442994,-44.47163413146476
bacabal,11,-4.226384665835355,-44.78906394035817
bacaxa,1,-22.893426802422145,-42.47013777700554
bacuri,3,-1.7280569130405292,-45.14182897643022
bady bassitt,6,-20.91711533777068,-49.45081883954137
baependi,8,-21.961660896718744,-44.88903628055419
bage,62,-31.325081063754553,-54.10372230962073
baianopolis,2,-12.305739641294254,-44.5388124087167
baixa grande,1,-11.96147261711341,-40.16778905956732
baixa grande do ribeiro,1,-7.9084243651879484,-45.21088308989325
baixo guandu,8,-19.512568777088724,-41.012926255435566
balbinos,1,-21.901262418619652,-49.356838571590075
baldim,2,-19.35343986807516,-43.95976260855736
balneario arroio do silva,4,-28.98799086431239,-49.418953571231974
balneario barra do sul,4,-26.45817040232512,-48.616573643777784
balneario camboriu,97,-26.990124247192306,-48.633114373691896
balneario gaivota,3,-29.164036202797508,-49.59491154145488
balneario picarras,8,-26.762899407242198,-48.68290270889026
balneario pinhal,7,-30.244333143421496,-50.26465313833557
balneario rincao,3,-28.82923322363224,-49.23348600862617
balsa nova,1,-25.57349560568768,-49.62757015584016
balsamo,6,-20.737177490083123,-49.58219424928403
balsas,17,-7.5314749353251536,-46.04310515312331
bambui,18,-20.015437694927495,-45.97709809819721
banabuiu,1,-5.30511200872304,-38.91958010341349
bananal,5,-22.68345055122797,-44.318917933330425
bananeiras,5,-6.748088778361755,-35.63143101928754
bandeira,3,-15.885797701961174,-40.5622830184042
bandeira do sul,2,-21.730125416985874,-46.3864678018016
bandeirantes,14,-22.637663207376445,-50.96309939547898
bandeirantes d'oeste,1,-23.106241494540207,-50.377957047095386
bandeirantes do tocantins,2,-7.759597790519602,-48.57808559792473
banzae,1,-10.585968502698583,-38.62099450700789
barao,1,-29.37666941197211,-51.49824451559166
barao ataliba nogueira,1,-22.381617751708013,-46.74721971320819
barao de cocais,18,-19.93492158174251,-43.480723242871434
barao de cotegipe,2,-27.61640332999156,-52.3814971713648
barao de juparana,1,-22.344483225330805,-43.681665396639325
barao do triunfo,1,-30.389810826279273,-51.73751780101631
barauna,1,-5.222309394175965,-37.491047761653796
barbacena,79,-21.219352072707792,-43.771457365243094
barbalha,6,-7.310555661406291,-39.30173021019368
barbosa ferraz,3,-24.027435144481696,-52.009024023193035
barcarena,6,-1.5118836506451743,-48.63407331830913
bariri,15,-22.074022270567585,-48.74025621655563
barra,2,-11.091426618171694,-43.14545144223989
barra bonita,28,-22.500722815617447,-48.5765920231022
barra da estiva,7,-13.627303617775587,-41.32764243619517
barra de guabiraba,2,-8.420432402918046,-35.661620866823256
barra de santa rosa,1,-6.722975852710321,-36.05636685098978
barra de santo antonio,2,-9.409987656172145,-35.509963851946296
barra de sao francisco,9,-18.750639170399417,-40.88724600352659
barra de sao joao,13,-22.57646348285718,-41.988423039765735
barra de sao miguel,2,-9.39107016586702,-35.98643393717561
barra do bugres,4,-15.069536524574868,-57.187765718121476
barra do choca,3,-14.771048917315847,-40.64005424899493
barra do corda,7,-5.504495037749826,-45.24672365808475
barra do garcas,25,-15.87863735073037,-52.27223991765776
barra do jacare,1,-23.112710960841177,-50.17450653120074
barra do mendes,3,-11.81567580101508,-42.059525987376695
barra do pirai,49,-22.474777683742655,-43.824261883117515
barra do ribeiro,5,-30.29829374043067,-51.308982963290255
barra do rio azul,1,-27.410053168682186,-52.41363609091986
barra do tarrachil,3,-13.00910117780522,-38.525978987269255
barra do turvo,3,-24.778404880119687,-48.49975225264679
barra dos coqueiros,3,-10.910546001317837,-37.02852300227634
barra longa,1,-20.28331413855323,-43.03934543153543
barra mansa,119,-22.541153347532763,-44.171692237730994
barra velha,15,-26.660970150266756,-48.691953317317825
barracao,3,-26.904606336555617,-52.63815864786403
barras,3,-4.243269940730288,-42.29404262878172
barreira,1,-4.291176025645771,-38.6417165334928
barreiras,51,-12.148291440071393,-44.96726006078333
barreirinhas,4,-2.7572296690037668,-42.83179515539183
barreiros,5,-8.814489427567528,-35.196763396960684
barretos,69,-20.559626185890163,-48.567785120619796
barrinha,18,-21.190885638654144,-48.15620878829506
barro,4,-7.1739467925333615,-38.778493096718
barro alto,3,-14.108306872734502,-47.036486838232015
barro preto,1,-14.808844881550723,-39.473220746209144
barrocas,1,-11.531422232554455,-39.07759493501058
barrolandia,2,-9.835706036446274,-48.726432154696646
barros cassal,3,-29.092217224881846,-52.58608560249378
barroso,11,-21.191206592695412,-43.97510580556287
barueri,419,-23.50591265074973,-46.86935863185775
bastos,17,-21.921257645470455,-50.73237742419828
bataguassu,5,-21.7156472573933,-52.42268536682221
bataipora,1,-22.299018570485877,-53.27314351641425
batalha,3,-6.445515186333756,-39.95500817704655
batatais,27,-20.89297727758808,-47.585052012762034
bataypora,2,-22.2967443482998,-53.269572350465914
baturite,3,-4.33336700306396,-38.87871631908669
bauru,263,-22.32668283930309,-49.06668248533467
bayeux,7,-7.130429616156728,-34.92421245463332
bebedouro,51,-20.943887781782358,-48.48609167648656
beberibe,3,-4.1840316734497085,-38.12315905366045
bela cruz,4,-3.056024276098674,-40.171418039839054
bela vista,3,-22.10100954188988,-56.53751823538703
bela vista de goias,7,-16.970865848615613,-48.95050687356345
bela vista de minas,1,-19.8280287267131,-43.09062549172086
bela vista do maranhao,1,-3.7449621799685744,-45.26018199694684
bela vista do paraiso,3,-22.994489452737884,-51.19769456622427
belem,431,-1.452535908502296,-48.39174562887312
belem do sao francisco,2,-8.72354646646816,-38.960161299442156
belford roxo,104,-22.73723765866893,-43.384292462811366
belmonte,2,-17.186712407251026,-40.653130025331194
belo campo,3,-15.03719803840138,-41.26055350504629
belo horizonte,2697,-19.908772138018296,-43.95754937318114
belo jardim,11,-8.46834442198707,-36.62115667954435
belo oriente,5,-19.23666264280913,-42.476659940437166
belo vale,3,-20.410874626609804,-44.0257580869963
benedito leite,1,-7.2185315166586035,-44.55507182209266
benedito novo,6,-26.78186783336413,-49.377719976799675
benevides,2,-1.3504592633478254,-48.25553277806337
bento de abreu,2,-21.273504073780863,-50.811250271092526
bento goncalves,53,-29.165160642374875,-51.51418462848584
bequimao,1,-2.450916218709413,-44.78730267622174
berilo,1,-16.9227674102542,-42.478475011191115
berizal,1,-15.620342230243962,-41.74589223879504
bernardino de campos,4,-23.01553540122101,-49.47743449963315
bertioga,47,-23.818390396829994,-46.080623703430774
bertolinia,1,-7.639522233366965,-43.95226761922226
bertopolis,1,-17.02933112374303,-40.55677849878938
betim,196,-19.954066182129804,-44.166961626958226
bezerros,10,-8.236645735574934,-35.754820871795225
bias fortes,2,-21.607145357582965,-43.75713266137063
bicas,7,-21.718907282263547,-43.065123888195494
biguacu,22,-27.504870090577512,-48.64971059986323
bilac,7,-21.40261065132153,-50.47539635637737
birigui,78,-21.29148593883686,-50.33834102472454
biritiba-mirim,10,-23.574570581031892,-46.040097597586545
biritinga,1,-11.621067370397462,-38.80797809110514
bituruna,5,-26.159429770563207,-51.54775703701614
blumenau,181,-26.899545050254957,-49.08859270065089
boa esperanca,20,-20.676047679946194,-45.00410890141118
boa esperanca do iguacu,1,-25.63575597391653,-53.21454879705403
boa esperanca do sul,11,-21.993393564514324,-48.390385180509796
boa ventura,1,-10.86800053283192,-39.136029777488226
boa viagem,3,-5.124593099187569,-39.731296654198324
boa vista,40,2.6539282894160228,-60.351574564996895
boa vista da aparecida,4,-25.437885479760887,-53.40870273133838
boa vista das missoes,1,-27.66180964091393,-53.316760498959184
boa vista do burica,1,-27.669043977859744,-54.11112152682007
boa vista do cadeado,1,-28.57759560610713,-53.813659189325975
boa vista do gurupi,2,-1.7953126147499632,-46.291986642937815
boa vista do sul,1,-29.34647313882286,-51.67305377843535
boca da mata,2,-9.644246828974058,-36.21371252866984
bocaina,7,-19.460201316507348,-47.25623453065428
bocaiuva,13,-17.11610103098384,-43.812085415930156
bocaiuva do sul,2,-25.21022891904481,-49.11201801929613
bodo,1,-5.988987926410246,-36.41243181692128
bodoco,2,-7.778456689884689,-39.93666448272335
bodoquena,2,-20.55050575634081,-56.67835671179238
bofete,5,-23.110602286087335,-48.262470448819585
boituva,47,-23.287426948305722,-47.670586146714506
bom conselho,7,-9.176329291731035,-36.68004491131996
bom despacho,38,-19.740337139221076,-45.25863430864746
bom jardim,16,-18.933999801148463,-42.19575464985414
bom jardim de goias,1,-16.202046608327226,-52.17443509260943
bom jardim de minas,8,-21.94855498599183,-44.186545939437465
bom jesus,13,-16.92610559681335,-47.62251901837086
bom jesus da lapa,9,-13.256014019878709,-43.409875811549746
bom jesus da penha,2,-21.018142161416034,-46.518655621662255
bom jesus da serra,2,-14.373890293319775,-40.50720409145588
bom jesus das selvas,2,-4.502895843702964,-46.85549096141207
bom jesus do amparo,1,-19.70770771675895,-43.475249717636665
bom jesus do araguaia,1,-12.189028400869223,-51.574837023112714
bom jesus do galho,4,-19.723406801685012,-42.523411634632275
bom jesus do itabapoana,20,-21.134261478552066,-41.67656312342376
bom jesus do norte,4,-21.126567901967178,-41.67280614857445
bom jesus do sul,1,-26.194806599274045,-53.598674520490796
bom jesus do tocantins,3,-5.5580294475786225,-48.54307003980822
bom jesus dos perdoes,17,-23.13830725453356,-46.46823470213135
bom principio,6,-29.47999201128738,-51.359206112516084
bom repouso,4,-22.470052425523427,-46.14709172537161
bom retiro,1,-27.79835761038368,-49.488573081200194
bom retiro do sul,2,-29.60072374263251,-51.93419702846099
bom sucesso,5,-21.204743493536405,-45.867684323467955
bombinhas,15,-27.15657253033492,-48.50320378589786
bonfim,5,-18.21896279975239,-45.46311181683703
bonfim paulista,18,-21.25404543801636,-47.815211223210696
bonfinopolis,2,-16.611698898279425,-48.96399857516921
bonfinopolis de minas,2,-16.56260962917525,-46.00143522737828
boninal,2,-12.709313125048306,-41.830256238939036
bonito,17,-16.038043189641343,-49.16265401596388
bonito de minas,1,-15.323332390913766,-44.75789991476468
bonito de santa fe,1,-7.313342946555163,-38.51421804158558
boqueirao do leao,2,-29.302864715682688,-52.42991482611905
boquira,1,-12.796852188705783,-42.71130889843319
boraceia,1,-22.19615762773832,-48.77774974951167
borborema,8,-21.620786398855515,-49.074917989060566
borda da mata,6,-22.26258413023529,-46.1711239405763
borrazopolis,2,-23.9405510974616,-51.58504073277295
bossoroca,1,-28.727270770936784,-54.9107887611147
botelho,1,-22.22100814602821,-47.3001460600237
botelhos,8,-21.647144448066587,-46.39847215608336
botucatu,100,-22.88211253545992,-48.44701223244297
botupora,1,-13.379137938870217,-42.52226591103274
